1, 2.739270e-06,4.809170e-06,2.739270e-06
104857600, 7.978345e-03,1.113487e-02,8.009669e-03
99614720, 7.657742e-03,1.057941e-02,7.691371e-03
94371840, 7.256679e-03,1.002868e-02,7.287347e-03
89128960, 6.853158e-03,9.468588e-03,6.882854e-03
83886080, 6.452828e-03,8.928351e-03,6.476552e-03
78643200, 6.050217e-03,8.221827e-03,6.046263e-03
73400320, 5.648953e-03,7.781731e-03,5.666923e-03
68157440, 5.243476e-03,7.232041e-03,5.260758e-03
62914560, 4.842443e-03,6.683037e-03,4.858268e-03
57671680, 4.438447e-03,6.128240e-03,4.454265e-03
52428800, 4.038995e-03,5.580894e-03,4.056717e-03
49807360, 3.834989e-03,5.213076e-03,3.832348e-03
47185920, 3.632641e-03,5.024548e-03,3.644774e-03
44564480, 3.432647e-03,4.751638e-03,3.445190e-03
41943040, 3.229777e-03,4.470366e-03,3.243123e-03
39321600, 3.030638e-03,4.196790e-03,3.041963e-03
36700160, 2.826928e-03,3.917118e-03,2.836232e-03
34078720, 2.625678e-03,3.568426e-03,2.623127e-03
31457280, 2.424466e-03,3.342448e-03,2.430413e-03
28835840, 2.224243e-03,3.068893e-03,2.229426e-03
26214400, 2.023924e-03,2.793942e-03,2.029292e-03
24903680, 1.921761e-03,2.655624e-03,1.928326e-03
23592960, 1.821219e-03,2.515079e-03,1.826017e-03
22282240, 1.719412e-03,2.377609e-03,1.724143e-03
20971520, 1.620945e-03,2.235774e-03,1.625613e-03
19660800, 1.519191e-03,2.066002e-03,1.517916e-03
18350080, 1.418874e-03,1.965213e-03,1.422776e-03
17039360, 1.318360e-03,1.819584e-03,1.320299e-03
15728640, 1.218084e-03,1.688886e-03,1.221709e-03
14417920, 1.116848e-03,1.550115e-03,1.120487e-03
13107200, 1.017178e-03,1.413856e-03,1.019944e-03
12451840, 9.655436e-04,1.313106e-03,9.648990e-04
11796480, 9.157605e-04,1.275511e-03,9.180524e-04
11141120, 8.656573e-04,1.205581e-03,8.685412e-04
10485760, 8.140059e-04,1.134660e-03,8.177755e-04
9830400, 7.642488e-04,1.066646e-03,7.679772e-04
9175040, 7.134950e-04,9.963863e-04,7.157615e-04
8519680, 6.636062e-04,9.164320e-04,6.646088e-04
7864320, 6.136855e-04,8.354834e-04,6.126227e-04
7208960, 5.635094e-04,7.772765e-04,5.643118e-04
6553600, 5.131281e-04,7.087425e-04,5.141756e-04
6225920, 4.871612e-04,6.745978e-04,4.883614e-04
5898240, 4.612811e-04,6.398723e-04,4.623016e-04
5570560, 4.364652e-04,6.052426e-04,4.377533e-04
5242880, 4.111735e-04,5.703798e-04,4.124548e-04
4915200, 3.859033e-04,5.258678e-04,3.851246e-04
4587520, 3.616109e-04,5.015406e-04,3.619703e-04
4259840, 3.356068e-04,4.659868e-04,3.366714e-04
